Username,Password,URL
engafrf101,f074cdd6,http://example.org/sso/engafrf101/f074cdd6/
engafrf102,f4c627e8,http://example.org/sso/engafrf102/f4c627e8/
engafrf103,2c92f062,http://example.org/sso/engafrf103/2c92f062/
engafrf104,c18fd4b1,http://example.org/sso/engafrf104/c18fd4b1/
engafrf105,4d360f32,http://example.org/sso/engafrf105/4d360f32/
engfasf101,d9304062,http://example.org/sso/engfasf101/d9304062/
engfasf102,8f7b8c00,http://example.org/sso/engfasf102/8f7b8c00/
engfasf103,82ffcf21,http://example.org/sso/engfasf103/82ffcf21/
engfasf104,eba95f85,http://example.org/sso/engfasf104/eba95f85/
engfasf105,0e1401c3,http://example.org/sso/engfasf105/0e1401c3/
englavf101,342af5fd,http://example.org/sso/englavf101/342af5fd/
englavf102,f8c1f634,http://example.org/sso/englavf102/f8c1f634/
englavf103,f4c1d453,http://example.org/sso/englavf103/f4c1d453/
englavf104,bb343c76,http://example.org/sso/englavf104/bb343c76/
englavf105,4dbec465,http://example.org/sso/englavf105/4dbec465/
engnldf101,16b93c9b,http://example.org/sso/engnldf101/16b93c9b/
engnldf102,3238d443,http://example.org/sso/engnldf102/3238d443/
engnldf103,fc279026,http://example.org/sso/engnldf103/fc279026/
engnldf104,76423517,http://example.org/sso/engnldf104/76423517/
engnldf105,9b920ff1,http://example.org/sso/engnldf105/9b920ff1/
engslkf101,c831533e,http://example.org/sso/engslkf101/c831533e/
engslkf102,55bbf59c,http://example.org/sso/engslkf102/55bbf59c/
engslkf103,6547b1eb,http://example.org/sso/engslkf103/6547b1eb/
engslkf104,f717dae2,http://example.org/sso/engslkf104/f717dae2/
engslkf105,bdf41423,http://example.org/sso/engslkf105/bdf41423/
engswef101,9ed4fe14,http://example.org/sso/engswef101/9ed4fe14/
engswef102,66e59624,http://example.org/sso/engswef102/66e59624/
engswef103,6802f49a,http://example.org/sso/engswef103/6802f49a/
engswef104,4ff65882,http://example.org/sso/engswef104/4ff65882/
engswef105,e0bfb29a,http://example.org/sso/engswef105/e0bfb29a/
engurdf101,e60e7c84,http://example.org/sso/engurdf101/e60e7c84/
engurdf102,9aa82f1d,http://example.org/sso/engurdf102/9aa82f1d/
engurdf103,f1578464,http://example.org/sso/engurdf103/f1578464/
engurdf104,6758d626,http://example.org/sso/engurdf104/6758d626/
engurdf105,36367537,http://example.org/sso/engurdf105/36367537/
afrengf101,607780bb,http://example.org/sso/afrengf101/607780bb/
afrengf102,57d3e545,http://example.org/sso/afrengf102/57d3e545/
afrengf103,53df4c88,http://example.org/sso/afrengf103/53df4c88/
afrengf104,d4810f3e,http://example.org/sso/afrengf104/d4810f3e/
afrengf105,1188ef0d,http://example.org/sso/afrengf105/1188ef0d/
nldengf101,f7ab41b5,http://example.org/sso/nldengf101/f7ab41b5/
nldengf102,f6250ccd,http://example.org/sso/nldengf102/f6250ccd/
nldengf103,c6a7651c,http://example.org/sso/nldengf103/c6a7651c/
nldengf104,d7823875,http://example.org/sso/nldengf104/d7823875/
nldengf105,64ec7790,http://example.org/sso/nldengf105/64ec7790/
ronengf101,4c1710ad,http://example.org/sso/ronengf101/4c1710ad/
ronengf102,83dad96d,http://example.org/sso/ronengf102/83dad96d/
ronengf103,d213b928,http://example.org/sso/ronengf103/d213b928/
ronengf104,348a5281,http://example.org/sso/ronengf104/348a5281/
ronengf105,9a77e79b,http://example.org/sso/ronengf105/9a77e79b/
slvengf101,7613c60e,http://example.org/sso/slvengf101/7613c60e/
slvengf102,aa789a4e,http://example.org/sso/slvengf102/aa789a4e/
slvengf103,28adf2ca,http://example.org/sso/slvengf103/28adf2ca/
slvengf104,779c4e5c,http://example.org/sso/slvengf104/779c4e5c/
slvengf105,0ee2e270,http://example.org/sso/slvengf105/0ee2e270/
sweengf101,4aac51e0,http://example.org/sso/sweengf101/4aac51e0/
sweengf102,a1d7bd43,http://example.org/sso/sweengf102/a1d7bd43/
sweengf103,e95670ed,http://example.org/sso/sweengf103/e95670ed/
sweengf104,9d2616fd,http://example.org/sso/sweengf104/9d2616fd/
sweengf105,fea57393,http://example.org/sso/sweengf105/fea57393/
